cmd :route
u8Para[0]=0,u8Para[1]=0,id=0 
id=95,name=service_fpi_teletext_toggle_update,times=0,time=0(us)
id=96,name=service_fpi_teletext_toggle_subpage_input,times=0,time=0(us)
id=97,name=service_fpi_teletext_input_alarmpage,times=0,time=0(us)
id=98,name=service_fpi_teletext_subpage_is_available,times=0,time=0(us)
id=99,name=service_fpi_teletext_subpage_cycle_available,times=0,time=0(us)
id=100,name=service_fpi_teletext_subpage_cycle_model,times=0,time=0(us)
id=101,name=service_fpi_teletext_page_is_subnews,times=0,time=0(us)
id=102,name=service_fpi_teletext_alarmpage_is_available,times=0,time=0(us)
id=103,name=service_fpi_teletext_change_digital_language,times=0,time=0(us)
id=104,name=service_fpi_teletext_change_language_group,times=0,time=0(us)
id=105,name=service_fpi_teletext_get_language_group,times=0,time=0(us)
id=106,name=service_fpi_teletext_switch_analog_sub,times=0,time=0(us)
id=107,name=service_fpi_teletext_test,times=0,time=0(us)
id=108,name=service_fpi_video_module_init,times=0,time=0(us)
id=109,name=service_fpi_video_init_parameter,times=0,time=0(us)
id=110,name=service_fpi_video_set_basic_parameters,times=0,time=0(us)
id=111,name=service_fpi_video_get_basic_parameters,times=0,time=0(us)
id=112,name=service_fpi_video_set_flesh_tone,times=0,time=0(us)
id=113,name=service_fpi_video_get_basic_parameters,times=0,time=0(us)
id=114,name=service_fpi_video_set_game_mode,times=0,time=0(us)
id=115,name=service_fpi_video_set_rgb,times=0,time=0(us)
id=116,name=,times=0,time=0(us)
id=117,name=service_fpi_video_get_black_field_status,times=0,time=0(us)
id=118,name=service_fpi_video_enable_film_mode,times=0,time=0(us)
id=119,name=service_fpi_video_enable_dynamic_contrast,times=0,time=0(us)
id=120,name=service_fpi_video_set_noise_reduction,times=0,time=0(us)
id=121,name=service_fpi_video_set_black_stretch,times=0,time=0(us)
id=122,name=service_fpi_video_set_gamma,times=0,time=0(us)
id=123,name=service_fpi_video_set_mute_color,times=0,time=0(us)
id=124,name=service_fpi_video_mute,times=0,time=0(us)
id=125,name=service_fpi_video_get_dbc_msg_type,times=0,time=0(us)
id=126,name=service_fpi_video_graphic_msg_for_dbc,times=0,time=0(us)
id=127,name=service_fpi_video_set_brightness,times=0,time=0(us)
id=128,name=service_fpi_video_set_hue,times=0,time=0(us)
id=129,name=service_fpi_video_set_saturation,times=0,time=0(us)
id=130,name=service_fpi_video_set_sharpness,times=0,time=0(us)
id=131,name=service_fpi_video_set_contrast,times=0,time=0(us)
id=132,name=service_fpi_video_set_energy_save,times=0,time=0(us)
id=133,name=service_fpi_video_set_pic_setting,times=0,time=0(us)
id=134,name=service_fpi_video_mab_get_params_value,times=0,time=0(us)
id=135,name=service_fpi_video_mab_set_params_value,times=0,time=0(us)
id=136,name=service_fpi_channel_scan_init,times=0,time=0(us)
id=137,name=service_fpi_channel_scan_start_analog,times=0,time=0(us)
id=138,name=service_fpi_channel_scan_stop_analog,times=0,time=0(us)
id=139,name=service_fpi_channel_scan_start_digital,times=0,time=0(us)
id=140,name=service_fpi_channel_scan_stop_digital_request,times=0,time=0(us)
id=141,name=service_fpi_channel_scan_stop_digital,times=0,time=0(us)
id=142,name=service_fpi_channel_scan_start_nit,times=0,time=0(us)
id=143,name=service_fpi_channel_scan_star_analog_demo,times=0,time=0(us)
id=144,name=service_fpi_channel_scan_get_percent,times=0,time=0(us)
id=145,name=service_fpi_channel_scan_analog_save_manual,times=0,time=0(us)
id=146,name=service_fpi_channel_play_init,times=0,time=0(us)
id=147,name=service_fpi_channel_change_setting,times=0,time=0(us)
id=148,name=service_fpi_channel_stop,times=0,time=0(us)
id=149,name=service_fpi_channel_get_dtv_info,times=0,time=0(us)
id=150,name=service_fpi_channel_play_audio,times=0,time=0(us)
id=151,name=service_fpi_channel_play_audio_mode,times=0,time=0(us)
id=152,name=service_fpi_channel_switch_tuner_mode,times=0,time=0(us)
id=153,name=service_fpi_psi_set_parental_rate,times=0,time=0(us)
id=154,name=service_fpi_psi_set_system_lock,times=0,time=0(us)
id=155,name=service_fpi_psi_set_input_lock,times=0,time=0(us)
id=156,name=service_fpi_channel_dtv_get_play_status,times=0,time=0(us)
id=157,name=service_fpi_channel_play_lock_program,times=0,time=0(us)
id=158,name=service_fpi_channel_dtv_play_current_program,times=0,time=0(us)
id=159,name=service_fpi_channel_dtv_play_next_program,times=0,time=0(us)
id=160,name=service_fpi_channel_dtv_play_previous_program,times=0,time=0(us)
id=161,name=service_fpi_channel_dtv_play_last_program,times=0,time=0(us)
id=162,name=service_fpi_channel_dtv_play_program_by_type_number,times=0,time=0(us)
id=163,name=service_fpi_channel_dtv_play_program_by_triplet,times=0,time=0(us)
id=164,name=service_fpi_channel_set_lock_program,times=0,time=0(us)
id=165,name=service_fpi_channel_atv_play_current_program,times=0,time=0(us)
id=166,name=service_fpi_channel_atv_play_previous_program,times=0,time=0(us)
id=167,name=service_fpi_channel_atv_play_next_program,times=0,time=0(us)
id=168,name=service_fpi_channel_atv_play_last_program,times=0,time=0(us)
id=169,name=service_fpi_channel_atv_play_program_by_num,times=0,time=0(us)
id=170,name=service_fpi_channel_atv_freq_adjustment,times=0,time=0(us)
id=171,name=service_fpi_channel_atv_set_audio_standard,times=0,time=0(us)
id=172,name=service_fpi_channel_atv_set_video_standard,times=0,time=0(us)
id=173,name=service_fpi_channel_atv_stop,times=0,time=0(us)
id=174,name=service_fpi_channel_atv_get_aft_ok,times=0,time=0(us)
id=175,name=service_fpi_channel_atv_play_snowflake_check,times=0,time=0(us)
id=176,name=service_fpi_channel_enter_epg_check_epg_linkage,times=0,time=0(us)
id=177,name=service_fpi_channel_input_source_unlock_global,times=0,time=0(us)
id=178,name=service_fpi_dtv_set_channel_play_update_status,times=0,time=0(us)
id=179,name=service_fpi_psi_init,times=0,time=0(us)
id=180,name=service_fpi_psi_set_cable_operator,times=0,time=0(us)
id=181,name=service_fpi_psi_set_country,times=0,time=0(us)
id=182,name=service_fpi_psi_set_language,times=0,time=0(us)
id=183,name=service_fpi_psi_set_clock_mode,times=0,time=0(us)
id=184,name=service_fpi_psi_set_time_zone,times=0,time=0(us)
id=185,name=service_fpi_psi_set_region,times=0,time=0(us)
id=186,name=service_fpi_psi_set_notification_scan,times=0,time=0(us)
id=187,name=service_fpi_psi_set_network_id,times=0,time=0(us)
id=188,name=service_fpi_psi_set_monitor_mode,times=0,time=0(us)
id=189,name=service_fpi_psi_get_service_info,times=0,time=0(us)
id=190,name=service_fpi_channel_dtv_do_cmd,times=0,time=0(us)
id=191,name=service_fpi_psi_get_current_program_info,times=0,time=0(us)
id=192,name=service_fpi_epg_init,times=0,time=0(us)
id=193,name=service_fpi_epg_set_language,times=0,time=0(us)
id=194,name=service_fpi_epg_set_country,times=0,time=0(us)
id=195,name=service_fpi_epg_get_event_info,times=0,time=0(us)
id=196,name=fpi_epg_set_read_flag,times=0,time=0(us)
id=197,name=service_fpi_oad_enable,times=0,time=0(us)
id=198,name=service_fpi_oad_confirm_software_update,times=0,time=0(us)
id=199,name=service_fpi_oad_set_download_path,times=0,time=0(us)
id=200,name=service_fpi_oad_get_download_status,times=0,time=0(us)
id=201,name=service_fpi_oad_confirm_future_update,times=0,time=0(us)
id=202,name=service_fpi_signal_get_lock_state,times=0,time=0(us)
id=203,name=service_fpi_signal_get_format,times=0,time=0(us)
id=204,name=service_fpi_signal_get_quality,times=0,time=0(us)
id=205,name=service_fpi_signal_get_frequncy,times=0,time=0(us)
id=206,name=service_fpi_signal_get_sound_system,times=0,time=0(us)
id=207,name=service_fpi_signal_get_hdmi_provider_type,times=0,time=0(us)
id=208,name=service_fpi_signal_set_hdmi_provider_type,times=0,time=0(us)
id=209,name=service_fpi_signal_get_xvycc_info,times=0,time=0(us)
id=210,name=service_fpi_signal_get_film_info,times=0,time=0(us)
id=211,name=service_fpi_time_get_current,times=0,time=0(us)
id=212,name=service_fpi_time_set_current,times=0,time=0(us)
id=213,name=service_fpi_time_get_clock_offset,times=0,time=0(us)
id=214,name=service_fpi_time_set_clock_offset,times=0,time=0(us)
id=215,name=service_fpi_time_get_next_clock_offset,times=0,time=0(us)
id=216,name=service_fpi_ci_init,times=0,time=0(us)
id=217,name=service_fpi_ci_factory_reset,times=0,time=0(us)
id=218,name=service_fpi_ci_start,times=0,time=0(us)
id=219,name=service_fpi_ci_get_card_state,times=0,time=0(us)
id=220,name=service_fpi_ci_close_mmi,times=0,time=0(us)
id=221,name=service_fpi_ci_back_mmi,times=0,time=0(us)
id=222,name=service_fpi_ci_enter_mmi,times=0,time=0(us)
id=223,name=service_fpi_ci_answer_mmi_menu,times=0,time=0(us)
id=224,name=service_fpi_ci_get_mmi_type,times=0,time=0(us)
id=225,name=service_fpi_ci_get_mmi_menu_title,times=0,time=0(us)
id=226,name=service_fpi_ci_get_mmi_menu_subtitle,times=0,time=0(us)
id=227,name=service_fpi_ci_get_mmi_menu_bottom,times=0,time=0(us)
id=228,name=service_fpi_ci_get_mmi_menu_item,times=0,time=0(us)
id=229,name=service_fpi_ci_get_mmi_menu_title_length,times=0,time=0(us)
id=230,name=service_fpi_ci_get_mmi_menu_subtitle_length,times=0,time=0(us)
id=231,name=service_fpi_ci_get_mmi_menu_bottom_length,times=0,time=0(us)
id=232,name=service_fpi_ci_get_mmi_menu_item_num,times=0,time=0(us)
id=233,name=service_fpi_ci_answer_mmi_enq,times=0,time=0(us)
id=234,name=service_fpi_ci_get_mmi_enq_hide_answer,times=0,time=0(us)
id=235,name=service_fpi_ci_get_mmi_enq_title,times=0,time=0(us)
id=236,name=service_fpi_ci_get_mmi_enq_title_length,times=0,time=0(us)
id=237,name=service_fpi_ci_get_mmi_enq_answer_length,times=0,time=0(us)
id=238,name=service_fpi_ci_get_ai_num,times=0,time=0(us)
id=239,name=service_fpi_ci_get_ai_name,times=0,time=0(us)
id=240,name=service_fpi_ci_op_del_all,times=0,time=0(us)
id=241,name=service_fpi_ci_op_get_power_on_time,times=0,time=0(us)
id=242,name=service_fpi_ci_op_update_nit,times=0,time=0(us)
id=243,name=service_fpi_ci_op_search_start,times=0,time=0(us)
id=244,name=service_fpi_ci_op_exist,times=0,time=0(us)
id=245,name=service_fpi_ci_op_set_channel_list_type,times=0,time=0(us)
id=246,name=service_fpi_ci_op_get_channel_type,times=0,time=0(us)
id=247,name=service_fpi_ci_op_get_channel_list_type_name,times=0,time=0(us)
id=248,name=service_fpi_ci_mheg_is_open,times=0,time=0(us)
id=249,name=service_fpi_ci_mheg_is_disable_sbt,times=0,time=0(us)
id=250,name=service_fpi_ci_hlc_set_country,times=0,time=0(us)
id=251,name=service_fpi_ci_hlc_set_language,times=0,time=0(us)
id=252,name=service_fpi_ci_update_certificate,times=0,time=0(us)
id=253,name=service_fpi_ci_erase_certificate,times=0,time=0(us)
id=254,name=fpi_ci_get_custom_code_length,times=0,time=0(us)
id=255,name=service_fpi_ci_get_custom_code,times=0,time=0(us)
id=256,name=service_fpi_factory_open_factory_uart,times=0,time=0(us)
id=257,name=service_fpi_factory_close_factory_uart,times=0,time=0(us)
id=258,name=service_fpi_factory_read_factory_uart,times=0,time=0(us)
id=259,name=service_fpi_factory_write_factory_uart,times=0,time=0(us)
id=260,name=service_fpi_factory_set_adc_gain_offset,times=0,time=0(us)
id=261,name=service_fpi_factory_auto_adc,times=0,time=0(us)
id=262,name=service_fpi_factory_set_wb_gain_offset,times=0,time=0(us)
id=263,name=service_fpi_factory_set_lvds_ssc,times=0,time=0(us)
id=264,name=service_fpi_factory_set_miu_ssc,times=0,time=0(us)
id=265,name=service_fpi_factory_set_osd_ssc,times=0,time=0(us)
id=266,name=service_fpi_factory_set_frc_ssc,times=0,time=0(us)
id=267,name=service_fpi_factory_system_shell,times=0,time=0(us)
id=268,name=service_fpi_factory_write_file,times=0,time=0(us)
id=269,name=service_fpi_factory_write_esnkey,times=0,time=0(us)
id=270,name=service_fpi_factory_read_esnkey,times=0,time=0(us)
id=271,name=service_fpi_factory_read_file,times=0,time=0(us)
id=272,name=service_fpi_factory_dbc_setting_update,times=0,time=0(us)
id=273,name=service_fpi_factory_pic_setting_update,times=0,time=0(us)
id=274,name=service_fpi_factory_light_sensor_arg_update,times=0,time=0(us)
id=275,name=service_fpi_factory_key_event_update,times=0,time=0(us)
id=276,name=service_fpi_factory_osd_state_update,times=0,time=0(us)
id=277,name=service_fpi_factory_audio_ctrl,times=0,time=0(us)
id=278,name=service_fpi_factory_cn_get_usb_path,times=0,time=0(us)
id=279,name=service_fpi_factory_ic_dump,times=0,time=0(us)
id=280,name=service_fpi_factory_ic_write,times=0,time=0(us)
id=281,name=service_fpi_factory_watch_dog_on,times=0,time=0(us)
id=282,name=service_fpi_factory_watch_dog_off,times=0,time=0(us)
id=283,name=service_fpi_factory_watch_dog_reset,times=0,time=0(us)
id=284,name=service_fpi_factory_get_ic_version,times=0,time=0(us)
id=285,name=service_fpi_factory_is_sdcard_exist,times=0,time=0(us)
id=286,name=service_fpi_factory_normal_uart_open,times=0,time=0(us)
id=287,name=service_fpi_factory_normal_uart_close,times=0,time=0(us)
id=288,name=service_fpi_factory_out_serial_data,times=0,time=0(us)
id=289,name=service_fpi_factory_get_si_tuner_status,times=0,time=0(us)
id=290,name=service_fpi_factory_set_logo,times=0,time=0(us)
id=291,name=service_fpi_factory_get_remote_control_button_value,times=0,time=0(us)
id=292,name=service_fpi_factory_get_side_panel_button_value,times=0,time=0(us)
id=293,name=service_fpi_factory_set_panel_key_lock_status,times=0,time=0(us)
id=294,name=service_fpi_factory_set_shop_audio_scene_and_update,times=0,time=0(us)
id=295,name=service_fpi_factory_get_horizon_position,times=0,time=0(us)
id=296,name=service_fpi_factory_get_horizon_zoom_size,times=0,time=0(us)
id=297,name=service_fpi_factory_get_vertical_position,times=0,time=0(us)
id=298,name=service_fpi_factory_get_vertical_zoom_size,times=0,time=0(us)
id=299,name=service_fpi_factory_get_panel_pixel,times=0,time=0(us)
id=300,name=service_fpi_factory_set_horizon_position,times=0,time=0(us)
id=301,name=service_fpi_factory_set_horizon_zoom_size,times=0,time=0(us)
id=302,name=service_fpi_factory_set_vertical_position,times=0,time=0(us)
id=303,name=service_fpi_factory_set_vertical_zoom_size,times=0,time=0(us)
id=304,name=service_fpi_dtv_subtitle_start,times=0,time=0(us)
id=305,name=service_fpi_dtv_subtitle_stop,times=0,time=0(us)
id=306,name=service_fpi_dtv_subtitle_source,times=0,time=0(us)
id=307,name=service_fpi_dtv_subtitle_pageid,times=0,time=0(us)
id=308,name=service_fpi_dtv_subtitle_hide,times=0,time=0(us)
id=309,name=service_fpi_program_update_sbt_service,times=0,time=0(us)
id=310,name=service_fpi_program_get_sbt_service,times=0,time=0(us)
id=311,name=service_fpi_program_set_sbt_index,times=0,time=0(us)
id=312,name=service_fpi_program_sbt_is_opened,times=0,time=0(us)
id=313,name=service_fpi_program_open_subtitle,times=0,time=0(us)
id=314,name=service_fpi_program_close_subtitle,times=0,time=0(us)
id=315,name=service_fpi_program_get_subtitle_info,times=0,time=0(us)
id=316,name=service_fpi_program_set_open_none_flag,times=0,time=0(us)
id=317,name=service_fpi_program_subtitle_init,times=0,time=0(us)
id=318,name=service_fpi_program_set_sbt_user_settings,times=0,time=0(us)
id=319,name=service_fpi_program_set_sbt_operator,times=0,time=0(us)
id=320,name=service_fpi_program_set_sbt_operator,times=0,time=0(us)
id=321,name=service_fpi_program_set_sbt_enable_monitor,times=0,time=0(us)
id=322,name=service_fpi_program_set_sbt_user_operation_flag,times=0,time=0(us)
id=323,name=service_fpi_program_switch_analog_sub,times=0,time=0(us)
id=324,name=service_fpi_program_set_analog_sub_enable,times=0,time=0(us)
id=325,name=service_fpi_nvram_init,times=0,time=0(us)
id=326,name=service_fpi_nvram_read_by_addr,times=0,time=0(us)
id=327,name=service_fpi_nvram_write_by_addr,times=0,time=0(us)
id=328,name=service_fpi_nvram_erase,times=0,time=0(us)
id=329,name=service_fpi_get_env,times=0,time=0(us)
id=330,name=service_fpi_set_env,times=0,time=0(us)
id=331,name=service_fpi_save_env,times=0,time=0(us)
id=332,name=service_fpi_upgrade,times=0,time=0(us)
id=333,name=service_fpi_media_video_play,times=0,time=0(us)
